的,dik7
組,dzou2
稱,tsing1
稱,tsing3
近,gan6
近,kan5
卻,koek8
花,fa1
共,gung6
共,gung1
帶,daai3
帶,daai2
往,wong5
觀,gun1
觀,gun3
完,jyn4
場,tsoeng4
感,gam2
風,fung1
風,fung3
件,gin6
件,gin2
類,loey6
難,naan4
難,naan6
特,dak9
住,dzy6
信,soen3
信,san1
決,kyt8
程,tsing4
示,si6
空,hung1
空,hung3
號,hou6
號,hou4
影,jing2
何,ho4
何,ho6
展,dzin2
北,bak7
認,jing6
制,dzai3
思,si1
思,si3
思,soi1
質,dzat7
質,dzi3
科,fo1
吃,hek8
吃,gat7
較,gaau3
半,bun3
市,si5
球,kau4
取,tsoey2
望,mong6
強,koeng4
強,koeng5
強,goeng6
流,lau4
笑,siu3
片,pin3
片,pin2
坐,dzo6
坐,tso5
該,goi1
王,wong4
王,wong6
驗,jim6
階,gaai1
交,gaau1
黨,dong2
區,koey1
區,au1
早,dzou2
保,bou2
造,dzou6
造,tsou3
造,tsou5
千,tsin1
極,gik9
熱,jit9
寫,se2
隊,doey6
隊,doey2
隊,dzoey6
管,gun2
七,tsat7
根,gan1
目,muk9
父,fu6
父,fu2
南,naam4
安,on1
孩,haai4
孩,hoi4
資,dzi1
非,fei1
神,san4
神,san1
改,goi2
切,tsai3
切,tsit8
師,si1
媽,ma1
媽,ma2
媽,ma5
金,gam1
轉,dzyn2
轉,dzyn3
若,joek9
若,je5
死,sei2
死,si2
品,ban2
清,tsing1
清,tseng1
滿,mun5
報,bou3
農,nung4
單,daan1
單,sin4
單,sin6
辦,baan6
級,kap7
馬,ma5
遠,jyn5
遠,jyn6
吧,ba6
吧,ba1
收,sau1
步,bou6
據,goey3
連,lin4
容,jung4
段,dyn6
爭,dzang1
爭,dzaang1
離,lei4
離,lei6
服,fuk9
跟,gan1
視,si6
試,si3
究,gau3
告,gou3
告,guk7
音,jam1
導,dou6
統,tung2
積,dzik7
治,dzi6
治,tsi4
香,hoeng1
張,dzoeng1
士,si6
士,si2
識,sik7
識,dzi3
易,ji6
易,jik9
須,soey1
雖,soey1
照,dziu3
料,liu6
料,liu2
似,tsi5
器,hei3
苦,fu2
始,tsi2
故,gu3
樂,lok9
樂,ngok9
樂,ngaau6
樂,lok8
整,dzing2
術,soet9
革,gaak8
革,gik7
精,dzing1
精,dzeng1
火,fo2
傳,tsyn4
傳,dzyn6
傳,dzyn3
需,soey1
友,jau5
務,mou6
確,kok8
約,joek8
研,jin4
研,jin6
係,hai6
領,ling5
領,leng5
失,sat7
除,tsoey4
請,tsing2
請,tseng2
份,fan6
份,fan2
份,ban1
未,mei6
消,siu1
越,jyt9
具,goey6
曾,tsang4
曾,dzang1
志,dzi3
商,soeng1
夠,gau3
談,taam4
達,daat9
達,taat8
足,dzuk7
足,dzoey3
深,sam1
項,hong6
備,bei6
錢,tsin4
錢,tsin2
錢,dzin2
輕,hing1
青,tsing1
青,tseng1
府,fu2
般,bo1
般,bun1
石,sek9
石,daam3
校,haau6
校,gaau3
演,jin5
演,jin2
準,dzoen2
持,tsi4
興,hing1
興,hing3
眾,dzung3
包,baau1
食,sik9
食,dzi6
食,ji6
增,dzang1
響,hoeng2
船,syn4
病,beng6
病,bing6
細,sai3
飛,fei1
答,daap8
仍,jing4
習,dzaap9
值,dzik9
列,lit9
米,mai5
亦,jik9
功,gung1
讓,joeng6
率,soet7
率,loet9
晚,maan5
參,tsaam1
參,tsam1
參,sam1
母,mou5
節,dzit8
價,ga3
調,diu6
調,tiu4
土,tou2
講,gong2
另,ling6
河,ho4
院,jyn2
房,fong4
房,fong2
找,dzaau2
濟,dzai3
濟,dzai2
基,gei1
拿,na4
星,sing1
言,jin4
英,jing1
息,sik7
裝,dzong1
舉,goey2
育,juk9
溫,wan1
隨,tsoey4
黑,hak7
群,kwan4
買,maai5
歡,fun1
畫,wa6
畫,wa2
畫,waak9
史,si2
勞,lou4
勞,lou6
夜,je6
集,dzaap9
站,dzaam6
衣,ji1
衣,ji3
落,lok9
落,laai6
團,tyn4
底,dai2
規,kwai1
聯,lyn4
誰,soey4
古,gu2
夫,fu1
夫,fu4
哪,na5
哪,na4
首,sau2
選,syn2
際,dzai3
司,si1
啊,a1
啊,a2
啊,a3
啊,a4
推,toey1
刻,hak7
均,gwan1
均,wan6
喜,hei2
引,jan5
紅,hung4
紅,gung1
留,lau4
倒,dou2
倒,dou3
漸,dzim6
漸,dzim1
證,dzing3
養,joeng5
養,joeng6
讀,duk9
讀,dau6
存,tsyn4
官,gun1
呀,a3
呀,a1
格,gaak8
怕,pa3
斷,dyn3
斷,dyn6
斷,tyn5
您,nei5
樹,sy6
紙,dzi2
送,sung3
令,ling6
令,ling1
令,ling4
廣,gwong2
製,dzai3
專,dzyn1
幹,gon3
久,gau2
歲,soey3
注,dzy3
低,dai1
支,dzi1
簡,gaan2
顯,hin2
醫,ji1
願,jyn6
族,dzuk9
初,tso1
歷,lik9
境,ging2
爸,ba1
鐵,tit8
勢,sai3
環,waan4
乎,fu4
標,biu1
議,ji5
鬥,dau3
差,tsa1
差,tsaai1
差,tsi1
適,sik7
屋,uk7
助,dzo6
織,dzik7
皮,pei4
塊,faai3
哥,go1
微,mei4
朋,pang4
客,haak8
黃,wong4
依,ji1
緊,gan2
油,jau4
拉,laai1
拉,la1
假,ga2
假,ga3
續,dzuk9
速,tsuk7
草,tsou2
局,guk9
華,wa4
華,fa1
華,wa6
右,jau6
吸,kap7
臉,lim5
陽,joeng4
終,dzung1
考,haau2
素,sou3
破,po3
腳,goek8
屬,suk9
屬,dzuk7
敵,dik9
況,fong3
權,kyn4
剛,gong1
圍,wai4
技,gei6
費,fai3
費,bei3
置,dzi3
句,goey3
句,ngau1
城,sing4
城,seng4
嚴,jim4
止,dzi2
男,naam4
忙,mong4
態,taai3
害,hoi6
害,hot8
排,paai4
錯,tso3
錯,tsok8
穿,tsyn1
密,mat9
致,dzi3
鐘,dzung1
弟,dai6
弟,dai2
弟,tai5
急,gap7
賽,tsoi3
兵,bing1
供,gung1
供,gung3
訴,sou3
台,toi4
台,ji4
否,fau2
否,pei2
靜,dzing6
睡,soey6
左,dzo2
查,tsa4
查,dza1
林,lam4
壓,aat8
某,mau5
勝,sing3
勝,sing1
劃,waak9
廠,tsong2
察,tsaat8
擊,gik7
洲,dzau1
午,ng5
周,dzau1
絕,dzyt9
絕,dzyt8
停,ting4
繼,gai3
帝,dai3
藝,ngai6
傷,soeng1
居,goey1
魚,jy4
魚,jy2
跑,paau2
跑,paau4
語,jy5
語,jy6
派,paai3
念,nim6
紀,gei2
葉,jip9
葉,sip8
奇,kei4
奇,gei1
賣,maai6
餘,jy4
班,baan1
省,saang2
省,sing2
唱,tsoeng3
味,mei6
德,dak7
室,sat7
充,tsung1
圓,jyn4
圓,jyn2
雨,jy5
雨,jy6
防,fong4
銀,ngan4
負,fu6
責,dzaak8
責,dzaai3
毛,mou4
竟,ging2
爺,je4
幫,bong1
液,jik9
液,jat9
射,se6
射,je6
射,jik9
配,pui3
酒,dzau2
睛,dzing1
律,loet9
狀,dzong6
構,gau3
構,kau3
系,hai6
盡,dzoen6
血,hyt8
飯,faan6
歌,go1
布,bou3
採,tsoi2
趕,gon2
冷,laang5
怪,gwaai3
靠,kaau3
委,wai2
委,wai1
效,haau6
壞,waai6
復,fuk9
復,fau6
投,tau4
慢,maan6
燈,dang1
木,muk9
獲,wok9
獲,waai4
案,on3
雙,soeng1
洋,joeng4
層,tsang4
含,ham4
護,wu6
彈,taan4
彈,daan6
彈,daan2
臺,toi4
待,doi6
修,sau1
尤,jau4
昨,dzok9
昨,dzok8
突,dat9
討,tou2
村,tsyn1
沙,sa1
批,pai1
減,gaam2
貨,fo3
課,fo3
啦,la1
堅,gin1
敢,gam2
亮,loeng6
預,jy6
筆,bat7
誤,ng6
既,gei3
述,soet9
短,dyn2
汽,hei3
拍,paak8
營,jing4
頂,ding2
頂,deng2
席,dzik9
趣,tsoey3
趣,tsuk7
限,haan6
藥,joek9
固,gu3
植,dzik9
警,ging2
維,wai4
抗,kong3
忽,fat7
概,koi3
呼,fu1
章,dzoeng1
腦,nou5
互,wu6
股,gu2
亂,lyn6
座,dzo6
距,koey5
距,goey6
武,mou5
劇,kek9
顧,gu3
創,tsong3
創,tsong1
印,jan3
希,hei1
亞,a3
激,gik7
燒,siu1
隻,dzek8
雜,dzaap9
職,dzik7
輸,sy1
練,lin6
端,dyn1
朝,tsiu4
朝,dziu1
替,tai3
佈,bou3
險,him2
免,min5
施,si1
施,ji6
獨,duk9
缺,kyt8
舊,gau6
景,ging2
景,jing2
婦,fu5
旁,pong4
姐,dze2
源,jyn4
陣,dzan6
祖,dzou2
僅,gan2
僅,gan6
謂,wai6
擔,daam1
擔,daam3
測,tsak7
測,tsaak7
江,gong1
異,ji6
乘,sing4
乘,sing6
曲,kuk7
牛,ngau4
跳,tiu3
換,wun6
富,fu3
驚,ging1
驚,geng1
遇,jy6
困,kwan3
按,on3
略,loek9
惡,ok8
惡,wu3
惡,wu1
永,wing5
良,loeng4
型,jing4
嘴,dzoey2
園,jyn4
懷,waai4
鄉,hoeng1
檢,gim2
克,hak7
升,sing1
封,fung1
板,baan2
店,dim3
守,sau2
陸,luk9
背,bui3
背,bui6
救,gau3
玩,waan4
玩,wun6
烈,lit9
禮,lai5
善,sin6
痛,tung3
殺,saat8
殺,saai3
括,kut8
毒,duk9
戲,hei3
戲,fu1
攻,gung1
蘇,sou1
普,pou2
透,tau3
途,tou4
肉,juk9
肯,hang2
肯,hoi2
沈,tsam4
沈,sam2
煙,jin1
田,tin4
優,jau1
娘,noeng4
付,fu6
漢,hon3
敗,baai6
幸,hang6
春,tsoen1
暗,am3
綠,luk9
尺,tsek8
尺,tse2
模,mou4
熟,suk9
偉,wai5
掉,diu6
央,joeng1
婚,fan1
錄,luk9
野,je5
益,jik7
麗,lai6
材,tsoi4
散,saan2
散,saan3
票,piu3
票,biu6
票,biu1
鏡,geng3
喝,hot8
序,dzoey6
菜,tsoi3
判,pun3
骨,gwat7
巴,ba1
樓,lau4
灣,waan1
搖,jiu4
附,fu6
露,lou6
策,tsaak8
款,fun2
衛,wai6
歐,au1
罷,ba6
罷,pei4
盛,sing6
盛,sing4
諾,nok9
乾,gon1
乾,kin4
楚,tso2
莊,dzong1
咱,dza1
逐,dzuk9
染,jim5
疑,ji4
季,gwai3
移,ji4
蟲,tsung4
零,ling4
床,tsong4
健,gin6
街,gaai1
雪,syt8
旅,loey5
粉,fan2
介,gaai3
順,soen6
忘,mong4
佔,dzim3
斯,si1
絲,si1
訓,fan3
滅,mit9
雲,wan4
縣,jyn6
縣,jyn4
福,fuk7
鼓,gu2
折,dzit8
折,sit9
折,dzip8
窗,tsoeng1
夏,ha6
衝,tsung1
衝,tsung3
宣,syn1
翠,tsoey3
降,gong3
降,hong4
游,jau4
針,dzam1
酸,syn1
岸,ngon6
愈,jy6
橋,kiu4
鋼,gong3
鋼,gong1
追,dzoey1
追,doey1
氧,joeng5
舞,mou5
堂,tong4
聞,man4
聞,man6
弄,lung6
寶,bou2
危,ngai4
複,fuk7
妹,mui6
協,hip8
協,hip9
哭,huk7
喊,haam3
謝,dze6
洗,sai2
洗,sin2
超,tsiu1
硬,ngaang6
浪,long6
浪,long4
範,faan6
懂,dung2
揮,fai1
宗,dzung1
甲,gaap8
燃,jin4
鮮,sin1
鮮,sin2
貴,gwai3
評,ping4
凡,faan4
架,ga3
架,ga2
臨,lam4
棉,min4
耳,ji5
館,gun2
齊,tsai4
齊,dzai6
齊,dzi1
齊,dzaai1
彩,tsoi2
抽,tsau1
輪,loen4
迎,jing4
迎,jing6
努,nou5
翻,faan1
干,gon1
干,gon3
遍,pin3
遍,bin3
抱,pou5
觸,dzuk7
觸,tsuk7
髮,faat8
孔,hung2
遊,jau4
徒,tou4
毫,hou4
訪,fong2
沿,jyn4
阿,a3
阿,a2
阿,o1
唯,wai4
唯,wai2
搜,sau2
搜,sau1
培,pui4
盤,pun4
盤,pun2
州,dzau1
企,kei5
讚,dzaan3
豐,fung1
靈,ling4
靈,leng4
康,hong1
紛,fan1
京,ging1
亡,mong4
亡,mou4
泥,nai4
泥,nei6
泥,nai5
波,bo1
倍,pui5
羅,lo4
詩,si1
混,wan6
仔,dzi2
仔,dzai2
尚,soeng6
招,dziu1
廿,je6
廿,ja6
副,fu3
姑,gu1
徑,ging3
稅,soey3
匪,fei2
釋,sik7
圈,hyn1
圈,gyn6
慣,gwaan3
槍,tsoeng1
氏,si6
氏,dzi1
握,aak7
握,ak7
私,si1
蛋,daan6
蛋,daan2
刀,dou1
巨,goey6
承,sing4
財,tsoi4
退,toey3
額,ngaak9
威,wai1
妳,nei5
妳,naai5
紹,siu6
歸,gwai1
侵,tsam1
束,tsuk7
避,bei6
兄,hing1
築,dzuk7
厘,lei4
休,jau1
擺,baai2
遭,dzou1
戶,wu6
控,hung3
莫,mok9
莫,mou6
迷,mai4
童,tung4
頓,doen6
頓,duk9
桌,tsoek8
桌,dzoek8
績,dzik7
慮,loey6
爬,pa4
瓶,ping4
擴,kwok8
擴,kwong3
宜,ji4
補,bou2
顏,ngaan4
脫,tyt8
恐,hung2
伸,san1
執,dzap7
末,mut9
鎮,dzan3
套,tou3
鬧,naau6
畢,bat7
鳥,niu5
罪,dzoey6
枝,dzi1
枝,kei4
島,dou2
掌,dzoeng2
湖,wu4
吹,tsoey1
吹,tsoey3
編,pin1
尋,tsam4
禁,gam3
禁,gam1
禁,kam1
蓋,goi3
蓋,koi3
蓋,gap8
弱,joek9
李,lei5
犯,faan6
犯,faan2
擇,dzaak9
秋,tsau1
藏,tsong4
藏,dzong6
茶,tsa4
伯,baak8
伯,ba3
攝,sip8
默,mak9
繁,faan4
陳,tsan4
陳,dzan6
荷,ho4
荷,ho6
穩,wan2
諸,dzy1
垂,soey4
尼,nei4
篇,pin1
勇,jung5
磁,tsi4
秘,bei3
餐,tsaan1
刺,tsi3
刺,tsik8
偏,pin1
晨,san4
姓,sing3
胞,baau1
君,gwan1
雞,gai1
億,jik7
奶,naai5
狗,gau2
掛,gwa3
醒,sing2
醒,seng2
厚,hau5
礦,kwong3
菌,kwan2
污,wu1
爾,ji5
寒,hon4
伙,fo2
斜,tse4
斜,tse3
斜,je4
堆,doey1
堆,dzoey1
映,jing2
映,joeng2
銷,siu1
奮,fan5
儀,ji4
杯,bui1
登,dang1
揚,joeng4
袋,doi6
索,saak8
索,sok8
冰,bing1
探,taam3
探,taam1
橫,waang4
橫,waang6
橫,gwong1
溶,jung4
忍,jan2
忍,jan5
暴,bou6
暴,buk9
逃,tou4
冬,dung1
抓,dzaau2
獻,hin3
遺,wai4
遺,wai6
勵,lai6
哈,ha1
損,syn2
淚,loey6
牙,nga4
榮,wing4
幕,mok9
播,bo3
詞,tsi4
聚,dzoey6
促,tsuk7
借,dze3
偶,ngau5
稍,saau2
航,hong4
訂,ding3
訂,deng6
博,bok8
搬,bun1
森,sam1
奪,dyt9
菁,dzing1
菁,tsing1
週,dzau1
閃,sim2
隔,gaak8
享,hoeng2
抵,dai2
潮,tsiu4
碰,pung3
朵,do2
朵,doe2
載,dzoi3
載,dzoi2
寬,fun1
幣,bai6
監,gaam1
監,gaam3
灰,fui1
純,soen4
純,dzoen2
純,tyn4
腿,toey2
輛,loeng6
玻,bo1
域,wik9
悲,bei1
淡,daam6
淡,taam5
淡,jim5
雄,hung4
抬,toi4
阻,dzo2
乃,naai5
乃,oi2
勁,ging6
勁,ging3
核,hat9
核,wat9
覆,fuk7
覆,fau6
逼,bik7
銅,tung4
佛,fat9
佛,fat7
蒸,dzing1
鞋,haai4
斤,gan1
胡,wu4
胡,wu2
震,dzan3
劣,lyt8
劣,lyt9
巧,haau2
洞,dung6
潔,git8
擁,jung2
擁,ung2
督,duk7
丈,dzoeng6
丈,dzoeng2
勸,hyn3
貌,maau6
麥,mak9
愉,jy4
愉,jy6
購,kau3
購,gau3
售,sau6
尊,dzyn1
尊,dzoen1
麻,ma4
彼,bei2
陰,jam1
濕,sap7
縮,suk7
貿,mau6
插,tsaap8
顆,fo2
智,dzi3
肥,fei4
敬,ging3
惜,sik7
龍,lung4
搞,gaau2
粒,nap7
粒,lap7
儘,dzoen2
璃,lei4
璃,lei1
乏,fat9
膠,gaau1
賞,soeng2
鬆,sung1
糧,loeng4
壁,bik7
壁,bek8
跡,dzik7
跡,dzek8
叔,suk7
頻,pan4
謀,mau4
尾,mei5
磨,mo4
磨,mo6
皇,wong4
猛,maang5
緣,jyn4
鬼,gwai2
患,waan6
礎,tso2
奏,dzau3
獎,dzoeng2
哲,dzit8
膚,fu1
耐,noi6
軸,dzuk9
偷,tau1
粗,tsou1
迅,soen3
浮,fau4
哩,lei5
哩,le1
遲,tsi4
爆,baau3
羊,joeng4
佳,gaai1
摸,mo2
夢,mung6
幼,jau3
側,dzak7
憑,pang4
泡,paau1
泡,paau3
泡,pou5
泡,paau4
碎,soey3
鹽,jim4
廢,fai3
挑,tiu1
挑,tou1
婆,po4
岩,ngaam4
泣,jap7
蒙,mung4
跌,dit8
煩,faan4
秒,miu5
俄,ngo4
汗,hon6
汗,hon4
煤,mui4
窮,kung4
箱,soeng1
繪,kui2
蘭,laan4
仰,joeng5
描,miu4
飾,sik7
殘,tsaan4
版,baan2
繞,jiu5
繞,jiu2
尖,dzim1
衹,kei4
衹,dzi2
訊,soen3
碗,wun2
盆,pun4
操,tsou1
操,tsou3
氫,hing1
縱,dzung1
縱,dzung3
欲,juk9
番,faan1
番,pun1
嫂,sou2
腰,jiu1
牌,paai4
肩,gin1
冒,mou6
冒,mak9
幅,fuk7
累,loey4
累,loey5
累,loey6
舒,sy1
傾,king1
奔,ban1
暫,dzaam6
豆,dau6
豆,dau2
壯,dzong3
擦,tsaat8
玉,juk9
典,din2
巿,fat7
薄,bok9
滑,waat9
滑,gwat7
詳,tsoeng4
頁,jip9
皆,gaai1
夾,gaap8
糖,tong4
糖,tong2
憐,lin4
梁,loeng4
授,sau6
徵,dzing1
徵,dzi2
捕,bou6
剩,sing6
剩,dzing6
鄰,loen4
旋,syn4
涼,loeng4
盾,toen5
延,jin4
械,haai6
碼,ma5
屆,gaai3
恢,fui1
迫,bik7
迫,baak7
予,jy5
予,jy4
召,dziu6
召,siu6
措,tsou3
珠,dzy1
琴,kam4
妻,tsai1
妻,tsai3
宋,sung3
陷,haam6
陷,ham6
俗,dzuk9
彎,waan1
宇,jy5
殖,dzik9
冊,tsaak8
瞧,tsiu4
衡,hang4
衡,waang4
塞,sak7
塞,tsoi3
徹,tsit8
誠,sing4
鑽,dzyn3
鑽,dzyn1
壤,joeng6
壤,joeng5
妙,miu6
廳,teng1
緩,wun6
緩,wun4
閉,bai3
渡,dou6
罵,ma6
彿,fat7
旗,kei4
宮,gung1
戴,daai3
析,sik7
符,fu4
暖,nyn5
納,naap9
藍,laam4
闊,fut8
漠,mok9
療,liu4
伴,bun6
伴,pun5
坡,bo1
坡,po1
彷,fong2
彷,pong4
截,dzit9
棒,paang5
仿,fong2
猶,jau4
挺,ting5
挺,ting2
艱,gaan1
躺,tong2
役,jik9
悄,tsiu2
悄,tsiu5
鼻,bei6
乙,jyt9
乙,jyt8
競,ging6
競,ging3
聖,sing3
網,mong5
剪,dzin2
災,dzoi1
藉,dzik9
藉,dze6
藉,dze3
障,dzoeng3
割,got8
狂,kwong4
署,tsy5
虎,fu2
姿,dzi1
欣,jan1
珍,dzan1
纔,tsoi4
貓,maau1
貓,maau4
貓,miu4
踐,tsin5
踐,dzin6
躍,joek8
躍,joek9
矛,maau4
援,wun4
援,jyn4
援,jyn6
邦,bong1
棄,hei3
齡,ling4
啟,kai2
裂,lit9
寄,gei3
拖,to1
貼,tip8
伍,ng5
殊,sy4
袖,dzau6
紡,fong2
柱,tsy5
池,tsi4
申,san1
拜,baai3
炸,dza3
臟,dzong6
朗,long5
貢,gung3
倆,loeng5
竹,dzuk7
虛,hoey1
辛,san1
墨,mak9
辭,tsi4
倫,loen4
怒,nou6
瓜,gwa1
胸,hung1
趨,tsoey1
趨,tsuk7
填,tin4
哦,ngo4
哦,o2
哦,o4
牲,sang1
牲,saang1
卡,ka1
卡,kaat7
唐,tong4
憶,jik7
淨,dzing6
淨,dzeng6
踏,daap9
軟,jyn5
怨,jyn3
憂,jau1
樁,dzong1
滴,dik7
濃,nung4
濃,jung4
埋,maai4
寧,ning4
寧,ning6
征,dzing1
扇,sin3
塑,sou3
塑,sok8
飲,jam2
飲,jam3
駛,sai2
勉,min5
曉,hiu2
漁,jy4
碳,taan3
兼,gim1
嚇,haak8
嚇,haak7
慰,wai3
搶,tsoeng2
搶,tsoeng1
搶,tsong1
搶,tsong2
審,sam2
捉,dzuk7
捉,dzuk8
繩,sing4
繩,sing2
餓,ngo6
敘,dzoey6
估,gu2
估,gu3
呈,tsing4
悶,mun6
泛,faan3
祝,dzuk7
貧,pan4
疾,dzat9
厲,lai6
膽,daam2
嘛,ma4
嘛,ma3
摩,mo1
陪,pui4
寂,dzik9
撲,pok8
邀,jiu1
騎,kei4
騎,ke4
騎,gei6
騎,kei3
輝,fai1
勤,kan4
孤,gu1
擠,dzai1
谷,guk7
谷,juk9
帽,mou6
帽,mou2
蜂,fung1
塗,tou4
旦,daan3
旦,daan2
秦,tsoen4
串,tsyn3
串,gwaan3
呆,ngoi4
呆,daai1
嗯,ng2
嗯,ng6
駕,ga3
咬,ngaau5
咬,aau1
咬,gaau1
毀,wai2
孫,syn1
慶,hing3
削,soek8
拔,bat9
帳,dzoeng3
伏,fuk9
惟,wai4
眉,mei4
辯,bin6
准,dzoen2
抑,jik7
脈,mak9
恰,hap7
灌,gun3
頗,po2
頗,po1
蒼,tsong1
拒,koey5
棵,fo2
肚,tou5
稻,dou6
菲,fei1
菲,fei2
湯,tong1
湯,soeng1
湯,joeng4
瘋,fung1
祇,kei4
祇,dzi2
仗,dzoeng6
仗,dzoeng3
剝,mok7
哎,aai1
牧,muk9
腐,fu6
悉,sik7
殼,hok8
煉,lin6
劑,dzai1
恨,han6
搭,daap8
爐,lou4
秀,sau3
簽,tsim1
緒,soey5
豬,dzy1
閒,haan4
閒,gaan1
閒,gaan3
井,dzeng2
井,dzing2
窩,wo1
撞,dzong6
撞,tsong4
匆,tsung1
宿,suk7
宿,sau3
憤,fan5
晶,dzing1
滾,gwan2
牆,tsoeng4
昏,fan1
鉛,jyn4
甘,gam1
膀,bong2
膀,pong4
膀,pong1
違,wai4
忠,dzung1
戒,gaai3
淺,tsin2
