的,dik7
近,gan6
近,kan5
却,koek8
花,fa1
共,gung6
共,gung1
带,daai3
带,daai2
往,wong5
观,gun1
观,gun3
完,jyn4
场,tsoeng4
感,gam2
风,fung1
风,fung3
件,gin6
件,gin2
类,loey6
难,naan4
难,naan6
特,dak9
住,dzy6
信,soen3
信,san1
决,kyt8
程,tsing4
示,si6
空,hung1
空,hung3
号,hou6
号,hou4
影,jing2
何,ho4
何,ho6
展,dzin2
北,bak7
认,jing6
制,dzai3
思,si1
思,si3
思,soi1
质,dzat7
质,dzi3
科,fo1
吃,hek8
吃,gat7
较,gaau3
半,bun3
市,si5
球,kau4
取,tsoey2
望,mong6
强,koeng4
强,koeng5
强,goeng6
流,lau4
笑,siu3
片,pin3
片,pin2
坐,dzo6
坐,tso5
该,goi1
王,wong4
王,wong6
验,jim6
阶,gaai1
交,gaau1
党,dong2
区,koey1
区,au1
早,dzou2
保,bou2
造,dzou6
造,tsou3
造,tsou5
千,tsin1
极,gik9
热,jit9
写,se2
队,doey6
队,doey2
队,dzoey6
管,gun2
七,tsat7
根,gan1
目,muk9
父,fu6
父,fu2
南,naam4
安,on1
孩,haai4
孩,hoi4
资,dzi1
非,fei1
神,san4
神,san1
改,goi2
切,tsai3
切,tsit8
师,si1
妈,ma1
妈,ma2
妈,ma5
金,gam1
转,dzyn2
转,dzyn3
若,joek9
若,je5
死,sei2
死,si2
品,ban2
清,tsing1
清,tseng1
满,mun5
报,bou3
农,nung4
单,daan1
单,sin4
单,sin6
办,baan6
级,kap7
马,ma5
远,jyn5
远,jyn6
吧,ba6
吧,ba1
收,sau1
步,bou6
据,goey3
连,lin4
容,jung4
段,dyn6
争,dzang1
争,dzaang1
离,lei4
离,lei6
服,fuk9
跟,gan1
视,si6
试,si3
究,gau3
告,gou3
告,guk7
音,jam1
导,dou6
统,tung2
积,dzik7
治,dzi6
治,tsi4
香,hoeng1
张,dzoeng1
士,si6
士,si2
识,sik7
识,dzi3
易,ji6
易,jik9
须,soey1
虽,soey1
照,dziu3
料,liu6
料,liu2
似,tsi5
器,hei3
苦,fu2
始,tsi2
故,gu3
乐,lok9
乐,ngok9
乐,ngaau6
乐,lok8
整,dzing2
术,soet9
革,gaak8
革,gik7
精,dzing1
精,dzeng1
火,fo2
传,tsyn4
传,dzyn6
传,dzyn3
需,soey1
友,jau5
务,mou6
确,kok8
约,joek8
研,jin4
研,jin6
系,hai6
领,ling5
领,leng5
失,sat7
除,tsoey4
请,tsing2
请,tseng2
份,fan6
份,fan2
份,ban1
未,mei6
消,siu1
越,jyt9
具,goey6
曾,tsang4
曾,dzang1
志,dzi3
商,soeng1
够,gau3
谈,taam4
达,daat9
达,taat8
足,dzuk7
足,dzoey3
深,sam1
项,hong6
备,bei6
钱,tsin4
钱,tsin2
钱,dzin2
轻,hing1
青,tsing1
青,tseng1
府,fu2
般,bo1
般,bun1
石,sek9
石,daam3
校,haau6
校,gaau3
演,jin5
演,jin2
准,dzoen2
持,tsi4
兴,hing1
兴,hing3
众,dzung3
包,baau1
食,sik9
食,dzi6
食,ji6
增,dzang1
响,hoeng2
船,syn4
病,beng6
病,bing6
细,sai3
飞,fei1
答,daap8
仍,jing4
习,dzaap9
值,dzik9
列,lit9
米,mai5
亦,jik9
功,gung1
让,joeng6
率,soet7
率,loet9
晚,maan5
参,tsaam1
参,tsam1
参,sam1
母,mou5
节,dzit8
价,ga3
调,diu6
调,tiu4
土,tou2
讲,gong2
另,ling6
河,ho4
院,jyn2
房,fong4
房,fong2
找,dzaau2
济,dzai3
济,dzai2
基,gei1
拿,na4
星,sing1
言,jin4
英,jing1
息,sik7
装,dzong1
举,goey2
育,juk9
温,wan1
随,tsoey4
黑,hak7
群,kwan4
买,maai5
欢,fun1
画,wa6
画,wa2
画,waak9
史,si2
劳,lou4
劳,lou6
夜,je6
集,dzaap9
站,dzaam6
衣,ji1
衣,ji3
落,lok9
落,laai6
团,tyn4
底,dai2
规,kwai1
联,lyn4
谁,soey4
古,gu2
夫,fu1
夫,fu4
哪,na5
哪,na4
首,sau2
选,syn2
际,dzai3
司,si1
啊,a1
啊,a2
啊,a3
啊,a4
推,toey1
刻,hak7
均,gwan1
均,wan6
喜,hei2
引,jan5
红,hung4
红,gung1
留,lau4
倒,dou2
倒,dou3
渐,dzim6
渐,dzim1
证,dzing3
养,joeng5
养,joeng6
读,duk9
读,dau6
存,tsyn4
官,gun1
呀,a3
呀,a1
格,gaak8
怕,pa3
断,dyn3
断,dyn6
断,tyn5
您,nei5
树,sy6
纸,dzi2
送,sung3
令,ling6
令,ling1
令,ling4
广,gwong2
制,dzai3
专,dzyn1
干,gon3
久,gau2
岁,soey3
注,dzy3
低,dai1
支,dzi1
简,gaan2
显,hin2
医,ji1
愿,jyn6
族,dzuk9
初,tso1
历,lik9
境,ging2
爸,ba1
铁,tit8
势,sai3
环,waan4
乎,fu4
标,biu1
议,ji5
斗,dau3
差,tsa1
差,tsaai1
差,tsi1
适,sik7
屋,uk7
助,dzo6
织,dzik7
皮,pei4
块,faai3
哥,go1
微,mei4
朋,pang4
客,haak8
黄,wong4
依,ji1
紧,gan2
油,jau4
拉,laai1
拉,la1
假,ga2
假,ga3
续,dzuk9
速,tsuk7
草,tsou2
局,guk9
华,wa4
华,fa1
华,wa6
右,jau6
吸,kap7
脸,lim5
阳,joeng4
终,dzung1
考,haau2
素,sou3
破,po3
脚,goek8
属,suk9
属,dzuk7
敌,dik9
况,fong3
权,kyn4
刚,gong1
围,wai4
技,gei6
费,fai3
费,bei3
置,dzi3
句,goey3
句,ngau1
城,sing4
城,seng4
严,jim4
止,dzi2
男,naam4
忙,mong4
态,taai3
害,hoi6
害,hot8
排,paai4
错,tso3
错,tsok8
穿,tsyn1
密,mat9
致,dzi3
钟,dzung1
弟,dai6
弟,dai2
弟,tai5
急,gap7
赛,tsoi3
兵,bing1
供,gung1
供,gung3
诉,sou3
台,toi4
台,ji4
否,fau2
否,pei2
静,dzing6
睡,soey6
左,dzo2
查,tsa4
查,dza1
林,lam4
压,aat8
某,mau5
胜,sing3
胜,sing1
划,waak9
厂,tsong2
察,tsaat8
击,gik7
洲,dzau1
午,ng5
周,dzau1
绝,dzyt9
绝,dzyt8
停,ting4
继,gai3
帝,dai3
艺,ngai6
伤,soeng1
居,goey1
鱼,jy4
鱼,jy2
跑,paau2
跑,paau4
语,jy5
语,jy6
派,paai3
念,nim6
纪,gei2
叶,jip9
叶,sip8
奇,kei4
奇,gei1
卖,maai6
馀,jy4
班,baan1
省,saang2
省,sing2
唱,tsoeng3
味,mei6
德,dak7
室,sat7
充,tsung1
圆,jyn4
圆,jyn2
雨,jy5
雨,jy6
防,fong4
银,ngan4
负,fu6
责,dzaak8
责,dzaai3
毛,mou4
竟,ging2
爷,je4
帮,bong1
液,jik9
液,jat9
射,se6
射,je6
射,jik9
配,pui3
酒,dzau2
睛,dzing1
律,loet9
状,dzong6
构,gau3
构,kau3
系,hai6
尽,dzoen6
血,hyt8
饭,faan6
歌,go1
布,bou3
采,tsoi2
赶,gon2
冷,laang5
怪,gwaai3
靠,kaau3
委,wai2
委,wai1
效,haau6
坏,waai6
复,fuk9
复,fau6
投,tau4
慢,maan6
灯,dang1
木,muk9
获,wok9
获,waai4
案,on3
双,soeng1
洋,joeng4
层,tsang4
含,ham4
护,wu6
弹,taan4
弹,daan6
弹,daan2
台,toi4
待,doi6
修,sau1
尤,jau4
昨,dzok9
昨,dzok8
突,dat9
讨,tou2
村,tsyn1
沙,sa1
批,pai1
减,gaam2
货,fo3
课,fo3
啦,la1
坚,gin1
敢,gam2
亮,loeng6
预,jy6
笔,bat7
误,ng6
既,gei3
述,soet9
短,dyn2
汽,hei3
拍,paak8
营,jing4
顶,ding2
顶,deng2
席,dzik9
趣,tsoey3
趣,tsuk7
限,haan6
药,joek9
固,gu3
植,dzik9
警,ging2
维,wai4
抗,kong3
忽,fat7
概,koi3
呼,fu1
章,dzoeng1
脑,nou5
互,wu6
股,gu2
乱,lyn6
座,dzo6
距,koey5
距,goey6
武,mou5
剧,kek9
顾,gu3
创,tsong3
创,tsong1
印,jan3
希,hei1
亚,a3
激,gik7
烧,siu1
只,dzek8
杂,dzaap9
职,dzik7
输,sy1
练,lin6
端,dyn1
朝,tsiu4
朝,dziu1
替,tai3
布,bou3
险,him2
免,min5
施,si1
施,ji6
独,duk9
缺,kyt8
旧,gau6
景,ging2
景,jing2
妇,fu5
旁,pong4
姐,dze2
源,jyn4
阵,dzan6
祖,dzou2
仅,gan2
仅,gan6
谓,wai6
担,daam1
担,daam3
测,tsak7
测,tsaak7
江,gong1
异,ji6
乘,sing4
乘,sing6
曲,kuk7
牛,ngau4
跳,tiu3
换,wun6
富,fu3
惊,ging1
惊,geng1
遇,jy6
困,kwan3
按,on3
略,loek9
恶,ok8
恶,wu3
恶,wu1
永,wing5
良,loeng4
型,jing4
嘴,dzoey2
园,jyn4
怀,waai4
乡,hoeng1
检,gim2
克,hak7
升,sing1
封,fung1
板,baan2
店,dim3
守,sau2
陆,luk9
背,bui3
背,bui6
救,gau3
玩,waan4
玩,wun6
烈,lit9
礼,lai5
善,sin6
痛,tung3
杀,saat8
杀,saai3
括,kut8
毒,duk9
戏,hei3
戏,fu1
攻,gung1
苏,sou1
普,pou2
透,tau3
途,tou4
肉,juk9
肯,hang2
肯,hoi2
沈,tsam4
沈,sam2
烟,jin1
田,tin4
优,jau1
娘,noeng4
付,fu6
汉,hon3
败,baai6
幸,hang6
春,tsoen1
暗,am3
绿,luk9
尺,tsek8
尺,tse2
模,mou4
熟,suk9
伟,wai5
掉,diu6
央,joeng1
婚,fan1
录,luk9
野,je5
益,jik7
丽,lai6
材,tsoi4
散,saan2
散,saan3
票,piu3
票,biu6
票,biu1
镜,geng3
喝,hot8
序,dzoey6
菜,tsoi3
判,pun3
骨,gwat7
巴,ba1
楼,lau4
湾,waan1
摇,jiu4
附,fu6
露,lou6
策,tsaak8
款,fun2
卫,wai6
欧,au1
罢,ba6
罢,pei4
盛,sing6
盛,sing4
诺,nok9
干,gon1
干,kin4
楚,tso2
庄,dzong1
咱,dza1
逐,dzuk9
染,jim5
疑,ji4
季,gwai3
移,ji4
虫,tsung4
零,ling4
床,tsong4
健,gin6
街,gaai1
雪,syt8
旅,loey5
粉,fan2
介,gaai3
顺,soen6
忘,mong4
占,dzim3
斯,si1
丝,si1
训,fan3
灭,mit9
云,wan4
县,jyn6
县,jyn4
福,fuk7
鼓,gu2
折,dzit8
折,sit9
折,dzip8
窗,tsoeng1
夏,ha6
冲,tsung1
冲,tsung3
宣,syn1
翠,tsoey3
降,gong3
降,hong4
游,jau4
针,dzam1
酸,syn1
岸,ngon6
愈,jy6
桥,kiu4
钢,gong3
钢,gong1
追,dzoey1
追,doey1
氧,joeng5
舞,mou5
堂,tong4
闻,man4
闻,man6
弄,lung6
宝,bou2
危,ngai4
复,fuk7
妹,mui6
协,hip8
协,hip9
哭,huk7
喊,haam3
谢,dze6
洗,sai2
洗,sin2
超,tsiu1
硬,ngaang6
浪,long6
浪,long4
範,faan6
懂,dung2
挥,fai1
宗,dzung1
甲,gaap8
燃,jin4
鲜,sin1
鲜,sin2
贵,gwai3
评,ping4
凡,faan4
架,ga3
架,ga2
临,lam4
棉,min4
耳,ji5
馆,gun2
齐,tsai4
齐,dzai6
齐,dzi1
齐,dzaai1
彩,tsoi2
抽,tsau1
轮,loen4
迎,jing4
迎,jing6
努,nou5
翻,faan1
干,gon1
干,gon3
遍,pin3
遍,bin3
抱,pou5
触,dzuk7
触,tsuk7
发,faat8
孔,hung2
游,jau4
徒,tou4
毫,hou4
访,fong2
沿,jyn4
阿,a3
阿,a2
阿,o1
唯,wai4
唯,wai2
搜,sau2
搜,sau1
培,pui4
盘,pun4
盘,pun2
州,dzau1
企,kei5
赞,dzaan3
丰,fung1
灵,ling4
灵,leng4
康,hong1
纷,fan1
京,ging1
亡,mong4
亡,mou4
泥,nai4
泥,nei6
泥,nai5
波,bo1
倍,pui5
罗,lo4
诗,si1
混,wan6
仔,dzi2
仔,dzai2
尚,soeng6
招,dziu1
廿,je6
廿,ja6
副,fu3
姑,gu1
径,ging3
税,soey3
匪,fei2
释,sik7
圈,hyn1
圈,gyn6
惯,gwaan3
枪,tsoeng1
氏,si6
氏,dzi1
握,aak7
握,ak7
私,si1
蛋,daan6
蛋,daan2
刀,dou1
巨,goey6
承,sing4
财,tsoi4
退,toey3
额,ngaak9
威,wai1
妳,nei5
妳,naai5
绍,siu6
归,gwai1
侵,tsam1
束,tsuk7
避,bei6
兄,hing1
筑,dzuk7
厘,lei4
休,jau1
摆,baai2
遭,dzou1
户,wu6
控,hung3
莫,mok9
莫,mou6
迷,mai4
童,tung4
顿,doen6
顿,duk9
桌,tsoek8
桌,dzoek8
绩,dzik7
虑,loey6
爬,pa4
瓶,ping4
扩,kwok8
扩,kwong3
宜,ji4
补,bou2
颜,ngaan4
脱,tyt8
恐,hung2
伸,san1
执,dzap7
末,mut9
镇,dzan3
套,tou3
闹,naau6
毕,bat7
鸟,niu5
罪,dzoey6
枝,dzi1
枝,kei4
岛,dou2
掌,dzoeng2
湖,wu4
吹,tsoey1
吹,tsoey3
编,pin1
寻,tsam4
禁,gam3
禁,gam1
禁,kam1
盖,goi3
盖,koi3
盖,gap8
弱,joek9
李,lei5
犯,faan6
犯,faan2
择,dzaak9
秋,tsau1
藏,tsong4
藏,dzong6
茶,tsa4
伯,baak8
伯,ba3
摄,sip8
默,mak9
繁,faan4
陈,tsan4
陈,dzan6
荷,ho4
荷,ho6
稳,wan2
诸,dzy1
垂,soey4
尼,nei4
篇,pin1
勇,jung5
磁,tsi4
秘,bei3
餐,tsaan1
刺,tsi3
刺,tsik8
偏,pin1
晨,san4
姓,sing3
胞,baau1
君,gwan1
鸡,gai1
亿,jik7
奶,naai5
狗,gau2
挂,gwa3
醒,sing2
醒,seng2
厚,hau5
矿,kwong3
菌,kwan2
污,wu1
尔,ji5
寒,hon4
伙,fo2
斜,tse4
斜,tse3
斜,je4
堆,doey1
堆,dzoey1
映,jing2
映,joeng2
销,siu1
奋,fan5
仪,ji4
杯,bui1
登,dang1
扬,joeng4
袋,doi6
索,saak8
索,sok8
冰,bing1
探,taam3
探,taam1
横,waang4
横,waang6
横,gwong1
溶,jung4
忍,jan2
忍,jan5
暴,bou6
暴,buk9
逃,tou4
冬,dung1
抓,dzaau2
献,hin3
遗,wai4
遗,wai6
励,lai6
哈,ha1
损,syn2
泪,loey6
牙,nga4
荣,wing4
幕,mok9
播,bo3
词,tsi4
聚,dzoey6
促,tsuk7
借,dze3
偶,ngau5
稍,saau2
航,hong4
订,ding3
订,deng6
博,bok8
搬,bun1
森,sam1
夺,dyt9
菁,dzing1
菁,tsing1
周,dzau1
闪,sim2
隔,gaak8
享,hoeng2
抵,dai2
潮,tsiu4
碰,pung3
朵,do2
朵,doe2
载,dzoi3
载,dzoi2
宽,fun1
币,bai6
监,gaam1
监,gaam3
灰,fui1
纯,soen4
纯,dzoen2
纯,tyn4
腿,toey2
辆,loeng6
玻,bo1
域,wik9
悲,bei1
淡,daam6
淡,taam5
淡,jim5
雄,hung4
抬,toi4
阻,dzo2
乃,naai5
乃,oi2
劲,ging6
劲,ging3
核,hat9
核,wat9
覆,fuk7
覆,fau6
逼,bik7
铜,tung4
佛,fat9
佛,fat7
蒸,dzing1
鞋,haai4
斤,gan1
胡,wu4
胡,wu2
震,dzan3
劣,lyt8
劣,lyt9
巧,haau2
洞,dung6
洁,git8
拥,jung2
拥,ung2
督,duk7
丈,dzoeng6
丈,dzoeng2
劝,hyn3
貌,maau6
麦,mak9
愉,jy4
愉,jy6
购,kau3
购,gau3
售,sau6
尊,dzyn1
尊,dzoen1
麻,ma4
彼,bei2
阴,jam1
湿,sap7
缩,suk7
贸,mau6
插,tsaap8
颗,fo2
智,dzi3
肥,fei4
敬,ging3
惜,sik7
龙,lung4
搞,gaau2
粒,nap7
粒,lap7
尽,dzoen2
璃,lei4
璃,lei1
乏,fat9
胶,gaau1
赏,soeng2
松,sung1
粮,loeng4
壁,bik7
壁,bek8
迹,dzik7
迹,dzek8
叔,suk7
频,pan4
谋,mau4
尾,mei5
磨,mo4
磨,mo6
皇,wong4
猛,maang5
缘,jyn4
鬼,gwai2
患,waan6
础,tso2
奏,dzau3
奖,dzoeng2
哲,dzit8
肤,fu1
耐,noi6
轴,dzuk9
偷,tau1
粗,tsou1
迅,soen3
浮,fau4
哩,lei5
哩,le1
迟,tsi4
爆,baau3
羊,joeng4
佳,gaai1
摸,mo2
梦,mung6
幼,jau3
侧,dzak7
凭,pang4
泡,paau1
泡,paau3
泡,pou5
泡,paau4
碎,soey3
盐,jim4
废,fai3
挑,tiu1
挑,tou1
婆,po4
岩,ngaam4
泣,jap7
蒙,mung4
跌,dit8
烦,faan4
秒,miu5
俄,ngo4
汗,hon6
汗,hon4
煤,mui4
穷,kung4
箱,soeng1
绘,kui2
兰,laan4
仰,joeng5
描,miu4
饰,sik7
残,tsaan4
版,baan2
绕,jiu5
绕,jiu2
尖,dzim1
衹,kei4
衹,dzi2
讯,soen3
碗,wun2
盆,pun4
操,tsou1
操,tsou3
氢,hing1
纵,dzung1
纵,dzung3
欲,juk9
番,faan1
番,pun1
嫂,sou2
腰,jiu1
牌,paai4
肩,gin1
冒,mou6
冒,mak9
幅,fuk7
累,loey4
累,loey5
累,loey6
舒,sy1
倾,king1
奔,ban1
暂,dzaam6
豆,dau6
豆,dau2
壮,dzong3
擦,tsaat8
玉,juk9
典,din2
巿,fat7
薄,bok9
滑,waat9
滑,gwat7
详,tsoeng4
页,jip9
皆,gaai1
夹,gaap8
糖,tong4
糖,tong2
怜,lin4
梁,loeng4
授,sau6
徵,dzing1
徵,dzi2
捕,bou6
剩,sing6
剩,dzing6
邻,loen4
旋,syn4
凉,loeng4
盾,toen5
延,jin4
械,haai6
码,ma5
届,gaai3
恢,fui1
迫,bik7
迫,baak7
予,jy5
予,jy4
召,dziu6
召,siu6
措,tsou3
珠,dzy1
琴,kam4
妻,tsai1
妻,tsai3
宋,sung3
陷,haam6
陷,ham6
俗,dzuk9
弯,waan1
宇,jy5
殖,dzik9
册,tsaak8
瞧,tsiu4
衡,hang4
衡,waang4
塞,sak7
塞,tsoi3
彻,tsit8
诚,sing4
钻,dzyn3
钻,dzyn1
壤,joeng6
壤,joeng5
妙,miu6
厅,teng1
缓,wun6
缓,wun4
闭,bai3
渡,dou6
骂,ma6
佛,fat7
旗,kei4
宫,gung1
戴,daai3
析,sik7
符,fu4
暖,nyn5
纳,naap9
蓝,laam4
阔,fut8
漠,mok9
疗,liu4
伴,bun6
伴,pun5
坡,bo1
坡,po1
仿,fong2
仿,pong4
截,dzit9
棒,paang5
仿,fong2
犹,jau4
挺,ting5
挺,ting2
艰,gaan1
躺,tong2
役,jik9
悄,tsiu2
悄,tsiu5
鼻,bei6
乙,jyt9
乙,jyt8
竞,ging6
竞,ging3
圣,sing3
网,mong5
剪,dzin2
灾,dzoi1
藉,dzik9
藉,dze6
藉,dze3
障,dzoeng3
割,got8
狂,kwong4
署,tsy5
虎,fu2
姿,dzi1
欣,jan1
珍,dzan1
才,tsoi4
猫,maau1
猫,maau4
猫,miu4
践,tsin5
践,dzin6
跃,joek8
跃,joek9
矛,maau4
援,wun4
援,jyn4
援,jyn6
邦,bong1
弃,hei3
龄,ling4
启,kai2
裂,lit9
寄,gei3
拖,to1
贴,tip8
伍,ng5
殊,sy4
袖,dzau6
纺,fong2
柱,tsy5
池,tsi4
申,san1
拜,baai3
炸,dza3
脏,dzong6
朗,long5
贡,gung3
俩,loeng5
竹,dzuk7
虚,hoey1
辛,san1
墨,mak9
辞,tsi4
伦,loen4
怒,nou6
瓜,gwa1
胸,hung1
趋,tsoey1
趋,tsuk7
填,tin4
哦,ngo4
哦,o2
哦,o4
牲,sang1
牲,saang1
卡,ka1
卡,kaat7
唐,tong4
忆,jik7
净,dzing6
净,dzeng6
踏,daap9
软,jyn5
怨,jyn3
忧,jau1
桩,dzong1
滴,dik7
浓,nung4
浓,jung4
埋,maai4
宁,ning4
宁,ning6
征,dzing1
扇,sin3
塑,sou3
塑,sok8
饮,jam2
饮,jam3
驶,sai2
勉,min5
晓,hiu2
渔,jy4
碳,taan3
兼,gim1
吓,haak8
吓,haak7
慰,wai3
抢,tsoeng2
抢,tsoeng1
抢,tsong1
抢,tsong2
审,sam2
捉,dzuk7
捉,dzuk8
绳,sing4
绳,sing2
饿,ngo6
叙,dzoey6
估,gu2
估,gu3
呈,tsing4
闷,mun6
泛,faan3
祝,dzuk7
贫,pan4
疾,dzat9
厉,lai6
胆,daam2
嘛,ma4
嘛,ma3
摩,mo1
陪,pui4
寂,dzik9
扑,pok8
邀,jiu1
骑,kei4
骑,ke4
骑,gei6
骑,kei3
辉,fai1
勤,kan4
孤,gu1
挤,dzai1
谷,guk7
谷,juk9
帽,mou6
帽,mou2
蜂,fung1
涂,tou4
旦,daan3
旦,daan2
秦,tsoen4
串,tsyn3
串,gwaan3
呆,ngoi4
呆,daai1
嗯,ng2
嗯,ng6
驾,ga3
咬,ngaau5
咬,aau1
咬,gaau1
毁,wai2
孙,syn1
庆,hing3
削,soek8
拔,bat9
帐,dzoeng3
伏,fuk9
惟,wai4
眉,mei4
辩,bin6
准,dzoen2
抑,jik7
脉,mak9
恰,hap7
灌,gun3
颇,po2
颇,po1
苍,tsong1
拒,koey5
棵,fo2
肚,tou5
稻,dou6
菲,fei1
菲,fei2
汤,tong1
汤,soeng1
汤,joeng4
疯,fung1
只,kei4
只,dzi2
仗,dzoeng6
仗,dzoeng3
剥,mok7
哎,aai1
牧,muk9
腐,fu6
悉,sik7
壳,hok8
炼,lin6
剂,dzai1
恨,han6
搭,daap8
炉,lou4
秀,sau3
签,tsim1
绪,soey5
猪,dzy1
閒,haan4
閒,gaan1
閒,gaan3
井,dzeng2
井,dzing2
窝,wo1
撞,dzong6
撞,tsong4
匆,tsung1
宿,suk7
宿,sau3
愤,fan5
晶,dzing1
滚,gwan2
墙,tsoeng4
昏,fan1
铅,jyn4
甘,gam1
膀,bong2
膀,pong4
膀,pong1
违,wai4
忠,dzung1
戒,gaai3
浅,tsin2
烂,laan6
猜,tsaai1
扫,sou3
沟,kau1
沟,gau1
润,joen6
甜,tim4
耕,gaang1
耕,gang1
迁,tsin1
狱,juk9
凝,jing4
喷,pan3
糊,wu4
糊,wu2
吐,tou3
吐,dat9
姊,dzi2
姊,dze2
躲,do2
腾,tang4
